task_id,employee_id,assigned_by_user_id,task_name,description,status,due_date,completion_date
1,1,2,Setup Email,Setup Email task,Pending,2026-02-06,
2,1,2,Security Training,Security Training task,Pending,2026-02-06,
3,1,2,Meet Manager,Meet Manager task,Pending,2026-02-06,
4,2,2,Setup Email,Setup Email task,Pending,2026-02-07,
5,2,2,Security Training,Security Training task,Completed,2026-02-07,2026-02-07
6,2,2,Meet Manager,Meet Manager task,Pending,2026-02-07,
7,3,2,Setup Email,Setup Email task,Completed,2026-02-08,2026-02-08
8,3,2,Security Training,Security Training task,In Progress,2026-02-08,
9,3,2,Meet Manager,Meet Manager task,In Progress,2026-02-08,
10,4,2,Setup Email,Setup Email task,In Progress,2026-02-09,
11,4,2,Security Training,Security Training task,Pending,2026-02-09,
12,4,2,Meet Manager,Meet Manager task,Pending,2026-02-09,
13,5,2,Setup Email,Setup Email task,Completed,2026-02-10,2026-02-10
14,5,2,Security Training,Security Training task,Completed,2026-02-10,2026-02-10
15,5,2,Meet Manager,Meet Manager task,In Progress,2026-02-10,
16,6,2,Setup Email,Setup Email task,In Progress,2026-02-11,
17,6,2,Security Training,Security Training task,Completed,2026-02-11,2026-02-11
18,6,2,Meet Manager,Meet Manager task,Completed,2026-02-11,2026-02-11
19,7,2,Setup Email,Setup Email task,Pending,2026-02-12,
20,7,2,Security Training,Security Training task,Pending,2026-02-12,
21,7,2,Meet Manager,Meet Manager task,Completed,2026-02-12,2026-02-12
22,8,2,Setup Email,Setup Email task,Completed,2026-02-13,2026-02-13
23,8,2,Security Training,Security Training task,Pending,2026-02-13,
24,8,2,Meet Manager,Meet Manager task,Pending,2026-02-13,
25,9,2,Setup Email,Setup Email task,Pending,2026-02-14,
26,9,2,Security Training,Security Training task,Completed,2026-02-14,2026-02-14
27,9,2,Meet Manager,Meet Manager task,Completed,2026-02-14,2026-02-14
28,10,2,Setup Email,Setup Email task,Completed,2026-02-15,2026-02-15
29,10,2,Security Training,Security Training task,Pending,2026-02-15,
30,10,2,Meet Manager,Meet Manager task,In Progress,2026-02-15,
31,11,2,Setup Email,Setup Email task,Pending,2026-02-16,
32,11,2,Security Training,Security Training task,Completed,2026-02-16,2026-02-16
33,11,2,Meet Manager,Meet Manager task,In Progress,2026-02-16,
34,12,2,Setup Email,Setup Email task,Completed,2026-02-17,2026-02-17
35,12,2,Security Training,Security Training task,Completed,2026-02-17,2026-02-17
36,12,2,Meet Manager,Meet Manager task,Pending,2026-02-17,
37,13,2,Setup Email,Setup Email task,In Progress,2026-02-18,
38,13,2,Security Training,Security Training task,Pending,2026-02-18,
39,13,2,Meet Manager,Meet Manager task,In Progress,2026-02-18,
40,14,2,Setup Email,Setup Email task,In Progress,2026-02-19,
41,14,2,Security Training,Security Training task,Completed,2026-02-19,2026-02-19
42,14,2,Meet Manager,Meet Manager task,Completed,2026-02-19,2026-02-19
43,15,2,Setup Email,Setup Email task,Pending,2026-02-20,
44,15,2,Security Training,Security Training task,Completed,2026-02-20,2026-02-20
45,15,2,Meet Manager,Meet Manager task,Pending,2026-02-20,
46,16,2,Setup Email,Setup Email task,In Progress,2026-02-21,
47,16,2,Security Training,Security Training task,In Progress,2026-02-21,
48,16,2,Meet Manager,Meet Manager task,Pending,2026-02-21,
49,17,2,Setup Email,Setup Email task,Pending,2026-02-22,
50,17,2,Security Training,Security Training task,Completed,2026-02-22,2026-02-22
51,17,2,Meet Manager,Meet Manager task,Pending,2026-02-22,
52,18,2,Setup Email,Setup Email task,In Progress,2026-02-23,
53,18,2,Security Training,Security Training task,Completed,2026-02-23,2026-02-23
54,18,2,Meet Manager,Meet Manager task,Pending,2026-02-23,
55,19,2,Setup Email,Setup Email task,In Progress,2026-02-24,
56,19,2,Security Training,Security Training task,In Progress,2026-02-24,
57,19,2,Meet Manager,Meet Manager task,In Progress,2026-02-24,
58,20,2,Setup Email,Setup Email task,In Progress,2026-02-25,
59,20,2,Security Training,Security Training task,In Progress,2026-02-25,
60,20,2,Meet Manager,Meet Manager task,Pending,2026-02-25,
61,21,2,Setup Email,Setup Email task,Completed,2026-02-26,2026-02-26
